essence,groupe1
BOG,Bop
BOJ,Boj
BOP,Bop
CAC,ChCetNoyCa
CAF,ChCetNoyCa
CET,ChCetNoyCa
CHB,ChCetNoyCa
CHE,ChCetNoyCa
CHG,ChCetNoyCa
CHR,ChCetNoyCa
EPB,Sepm
EPN,Sepm
EPO,Sepm
EPR,Sepm
ERA,Ero
ERN,Ero
ERR,Ero
ERS,Ers
FRA,Auf
FRN,Auf
FRP,Auf
HEG,Auf
MEH,Sepm
MEJ,Sepm
MEL,Sepm
MEU,Sepm
NOC,ChCetNoyCa
ORA,Auf
ORR,Auf
ORT,Auf
OSV,Auf
PEB,Peu
PED,Peu
PEG,Peu
PEH,Peu
PET,Peu
PIB,Pib
PID,Sepm
PIG,Sepm
PIR,Pir
PIS,Sepm
PRU,Pru-Tho
SAB,Sepm
THO,Pru-Tho
TIL,Auf
